10,1004614000
200,380000
300,552000
500,270000
800,403000
1000,15493000
2000,313000
3000,14706000
4000,1936000
5000,423000
6000,489000
7000,13629000
8000,528000
9000,17044000
10000,13784000
11000,78572000
12000,484000
13000,414000
14000,255000
15000,497000
16000,38978000
17000,398000
18000,543000
19000,15320000
20000,3085000
10,886710000
200,246000
300,382000
500,335000
800,648000
1000,990000
2000,3714000
3000,610000
4000,383000
5000,239000
6000,160000
7000,77484000
8000,62562000
9000,437000
10000,255000
11000,67096000
12000,12820000
13000,373000
14000,276000
15000,159000
16000,164000
17000,167000
18000,207000
19000,169000
20000,344000
